fips,year,month,total_deaths,sex_1,sex_2
11020,2002,1,2,2,0
11020,2002,2,1,1,0
11020,2002,3,4,2,2
11020,2002,6,2,2,0
11020,2002,7,3,2,1
11020,2002,8,3,3,0
11020,2002,9,2,2,0
11020,2002,10,2,2,0
11020,2002,11,4,4,0
11020,2002,12,2,2,0
11020,2003,1,2,2,0
11020,2003,2,1,1,0
11020,2003,3,5,4,1
11020,2003,4,1,1,0
11020,2003,5,6,5,1
11020,2003,6,1,1,0
11020,2003,7,5,3,2
11020,2003,8,1,0,1
11020,2003,9,2,2,0
11020,2003,10,4,3,1
11020,2003,11,1,1,0
11020,2003,12,1,1,0
11020,2004,1,2,0,2
11020,2004,3,2,1,1
11020,2004,4,6,3,3
11020,2004,5,3,2,1
11020,2004,6,5,3,2
11020,2004,8,6,3,3
11020,2004,9,6,2,4
11020,2004,12,4,2,2
11020,2005,1,1,1,0
11020,2005,2,2,2,0
11020,2005,3,10,7,3
11020,2005,4,5,3,2
11020,2005,5,3,3,0
11020,2005,6,4,3,1
11020,2005,7,1,1,0
11020,2005,8,5,3,2
11020,2005,9,2,2,0
11020,2005,11,3,2,1
11020,2005,12,1,1,0
11020,2006,1,1,1,0
11020,2006,2,1,1,0
11020,2006,3,3,2,1
11020,2006,4,2,2,0
11020,2006,5,1,1,0
11020,2006,6,2,2,0
11020,2006,8,1,1,0
11020,2006,9,1,1,0
11020,2006,10,4,4,0
11020,2006,11,1,1,0
11020,2007,1,3,3,0
11020,2007,2,3,3,0
11020,2007,3,1,1,0
11020,2007,4,1,0,1
11020,2007,5,3,1,2
11020,2007,6,3,3,0
11020,2007,7,3,2,1
11020,2007,8,1,0,1
11020,2007,9,3,2,1
11020,2007,10,3,3,0
11020,2007,11,1,0,1
11020,2007,12,1,1,0
11020,2008,1,5,4,1
11020,2008,2,2,1,1
11020,2008,4,1,1,0
11020,2008,5,3,0,3
11020,2008,6,2,2,0
11020,2008,7,4,3,1
11020,2008,8,2,2,0
11020,2008,9,6,5,1
11020,2008,10,5,3,2
11020,2008,11,5,3,2
11020,2008,12,6,4,2
11020,2009,1,1,0,1
11020,2009,2,4,4,0
11020,2009,3,5,4,1
11020,2009,4,3,1,2
11020,2009,5,3,3,0
11020,2009,6,4,4,0
11020,2009,7,3,3,0
11020,2009,8,5,3,2
11020,2009,9,4,3,1
11020,2009,10,2,0,2
11020,2009,11,2,1,1
11020,2009,12,3,3,0
11020,2010,1,1,1,0
11020,2010,2,2,0,2
11020,2010,3,2,2,0
11020,2010,4,6,4,2
11020,2010,5,7,2,5
11020,2010,6,4,3,1
11020,2010,7,6,6,0
11020,2010,8,7,4,3
11020,2010,9,4,2,2
11020,2010,10,2,2,0
11020,2010,11,3,2,1
11020,2010,12,5,3,2
11020,2011,1,3,1,2
11020,2011,2,3,2,1
11020,2011,3,7,4,3
11020,2011,4,3,1,2
11020,2011,5,6,2,4
11020,2011,6,3,3,0
11020,2011,7,2,2,0
11020,2011,8,2,1,1
11020,2011,9,1,1,0
11020,2011,10,2,2,0
11020,2011,11,2,2,0
11020,2011,12,5,4,1
11020,2012,1,4,3,1
11020,2012,2,4,3,1
11020,2012,3,1,1,0
11020,2012,4,5,3,2
11020,2012,5,3,1,2
11020,2012,6,2,1,1
11020,2012,7,3,3,0
11020,2012,8,5,5,0
11020,2012,9,1,1,0
11020,2012,10,6,6,0
11020,2012,11,2,1,1
11020,2012,12,2,2,0
11020,2013,1,3,2,1
11020,2013,2,5,3,2
11020,2013,3,2,2,0
11020,2013,4,3,2,1
11020,2013,5,1,0,1
11020,2013,6,3,3,0
11020,2013,7,1,0,1
11020,2013,8,1,0,1
11020,2013,9,4,3,1
11020,2013,10,4,3,1
11020,2013,11,3,3,0
11020,2013,12,3,2,1
11020,2014,1,4,4,0
11020,2014,2,1,0,1
11020,2014,3,1,0,1
11020,2014,4,4,4,0
11020,2014,5,4,4,0
11020,2014,6,5,5,0
11020,2014,7,4,3,1
11020,2014,8,2,2,0
11020,2014,9,4,3,1
11020,2014,10,4,3,1
11020,2014,11,3,2,1
11020,2014,12,4,3,1
11020,2015,1,3,3,0
11020,2015,2,3,2,1
11020,2015,3,1,1,0
11020,2015,4,6,6,0
11020,2015,5,1,1,0
11020,2015,6,1,1,0
11020,2015,7,3,2,1
11020,2015,8,3,3,0
11020,2015,9,2,2,0
11020,2015,11,3,3,0
11020,2015,12,5,2,3
11020,2016,2,1,1,0
11020,2016,3,4,3,1
11020,2016,4,2,1,1
11020,2016,5,8,6,2
11020,2016,6,3,3,0
11020,2016,7,2,1,1
11020,2016,8,2,2,0
11020,2016,9,3,2,1
